OBJECTID,Store_ID,Address,Unit,Civic_Numb,Street,Address_Ab,Business_N,Year_Recor,General_Bu,BIA_Name,ID_Year,Local_Area,Sub_Category,Sub_Category1
3,11113,1311 HOWE ST,104,1311,HOWE ST,1311 HOWE ST,Hair Production Studio,2025,Service Commercial,Downtown Vancouver BIA,11113_2025,Downtown,Beauty & Wellness,Beauty & Wellness
4,7587,1037 DAVIE ST,N/A,1037,DAVIE ST,1037 DAVIE ST,Davie Village Optometry,2025,Service Commercial,West End BIA,7587_2025,West End,Optometry,Optometry
21,7663,1216 DAVIE ST,N/A,1216,DAVIE ST,1216 DAVIE ST,Davie Village Bakery,2025,Convenience Goods,West End BIA,7663_2025,West End,Bakery & Cafe,Bakery & Cafe
25,3839,179 KEEFER PLACE,N/A,179,KEEFER PLACE,179 KEEFER PLACE,T & T Supermarket,2025,Convenience Goods,N/A,3839_2025,Downtown,Grocery Store,Grocery Store
29,10554,622 BUTE ST,N/A,622,BUTE ST,622 BUTE ST,Coal Harbour Health Centre,2025,Service Commercial,Downtown Vancouver BIA,10554_2025,Downtown,Clinic,Clinic
40,7593,1051 DAVIE ST,N/A,1051,DAVIE ST,1051 DAVIE ST,RBC Royal Bank,2025,Service Commercial,West End BIA,7593_2025,West End,Bank,Bank
42,2689,898 W PENDER ST,N/A,898,W PENDER ST,898 W PENDER ST,Vancity,2025,Service Commercial,Downtown Vancouver BIA,2689_2025,Downtown,Bank,Bank
43,2903,1199 W PENDER ST,N/A,1199,W PENDER ST,1199 W PENDER ST,7-Eleven,2025,Convenience Goods,Downtown Vancouver BIA,2903_2025,Downtown,Supermarket,Supermarket
60,10869,700 W GEORGIA ST,N/A,700,W GEORGIA ST,700 W GEORGIA ST,TD Canada Trust,2025,Service Commercial,Downtown Vancouver BIA,10869_2025,Downtown,Bank,Bank
61,7879,1175 DENMAN ST,N/A,1175,DENMAN ST,1175 DENMAN ST,Medical Centre Pharmacy,2025,Convenience Goods,West End BIA,7879_2025,West End,Pharmacy,Pharmacy
66,3424,126 W CORDOVA ST,N/A,126,W CORDOVA ST,126 W CORDOVA ST,W Dental,2025,Service Commercial,Hastings Crossing BIA,3424_2025,Downtown,Dentist,Dentist
72,3466,159 W HASTINGS ST,N/A,159,W HASTINGS ST,159 W HASTINGS ST,Pure Bread,2025,Convenience Goods,Hastings Crossing BIA,3466_2025,Downtown,Bakery & Cafe,Bakery & Cafe
87,3393,199 E HASTINGS ST,N/A,199,E HASTINGS ST,199 E HASTINGS ST,Owl Drugs,2025,Convenience Goods,Hastings Crossing BIA,3393_2025,Downtown,Pharmacy,Pharmacy
91,11125,1128 RICHARDS ST,N/A,1128,RICHARDS ST,1128 RICHARDS ST,Greenwoods Dental Centre,2025,Service Commercial,Downtown Vancouver BIA,11125_2025,Downtown,Dentist,Dentist
95,8403,1262 HOMER ST,N/A,1262,HOMER ST,1262 HOMER ST,Chez Nous Bakery & Cafe,2025,Convenience Goods,Yaletown BIA,8403_2025,Downtown,Bakery & Cafe,Bakery & Cafe
133,3404,223 MAIN ST,N/A,223,MAIN ST,227 MAIN ST,Pier Health Resource Centre,2025,Service Commercial,Hastings Crossing BIA,3404_2025,Downtown,Pharmacy,Pharmacy
146,7798,940 DENMAN ST,N/A,940,DENMAN ST,940 DENMAN ST,Denman Market,2025,Convenience Goods,West End BIA,7798_2025,West End,Convenience Store,Convenience Store
208,1215,118 KEEFER ST,N/A,118,KEEFER ST,118 KEEFER ST,Keefer Medical Clinic,2025,Service Commercial,Chinatown BIA,1215_2025,Downtown,Clinic,Clinic
217,10738,139 KEEFER ST,N/A,139,KEEFER ST,139 KEEFER ST,Caveman Bakery,2025,Convenience Goods,Chinatown BIA,10738_2025,Downtown,Bakery & Cafe,Bakery & Cafe
